id;municipio;poblacion_total;poblacion_mayores;proporcion_mayores
41023;Cantillana;10630;1746;16.43
8041;Canovelles;16787;2758;16.43
3049;Callosa de Segura;19264;3166;16.43
38019;Guía de Isora;22235;3654;16.43
7056;Santa María del Camí;7504;1234;16.44
50025;Almunia de Doña Godina, La;7884;1296;16.44
28029;Cabanillas de la Sierra;935;154;16.47
6135;Trujillanos;1390;229;16.47
8224;Sant Martí de Centelles;1238;204;16.48
8210;Sant Feliu de Codines;6388;1053;16.48
24189;Valverde de la Virgen;7595;1253;16.5
41087;Sanlúcar la Mayor;14005;2311;16.5
31192;Olóriz/Oloritz;218;36;16.51
17193;Sils;6559;1083;16.51
18036;Cájar;5393;891;16.52
7055;Santa Margalida;13050;2156;16.52
20006;Alkiza;363;60;16.53
50298;Zuera;8507;1406;16.53
18149;Villa de Otura;7420;1227;16.54
38025;Matanza de Acentejo, La;8976;1485;16.54
8094;Granada, La;2194;363;16.55
17141;Puigcerdà;9661;1599;16.55
46253;Vallés;151;25;16.56
49122;Monfarracinos;978;162;16.56
43011;Almoster;1304;216;16.56
16134;Motilla del Palancar;6093;1009;16.56
30030;Murcia;462979;76692;16.56
47193;Viana de Cega;2233;370;16.57
46211;Real de Gandia, el;2625;435;16.57
28066;Griñón;10433;1729;16.57
17201;Toses;187;31;16.58
22204;Sallent de Gállego;1550;257;16.58
17066;Figueres;47161;7820;16.58
41097;Villamanrique de la Condesa;4587;761;16.59
